name,smiles,toxic_dogs,toxic_cats,organ_affected,toxicity_level,notes
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,1,1,Kidney/GI,High,NSAID - causes GI ulcers and renal failure
Acetaminophen,CC(=O)Nc1ccc(O)cc1,1,1,Liver,High,Causes hepatic necrosis - especially fatal in cats
Aspirin,CC(=O)Oc1ccccc1C(=O)O,1,1,GI/Liver,High,Cats lack enzyme to metabolize salicylates
Naproxen,CC(c1ccc2cc(OC)ccc2c1)C(=O)O,1,1,Kidney/GI,High,NSAID - similar to ibuprofen toxicity
Xylitol,OCC(O)C(O)C(O)CO,1,0,Liver/Pancreas,High,Causes hypoglycemia and liver failure in dogs
Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,1,1,CNS/Heart,High,Methylxanthine - cardiac arrhythmias
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,1,1,CNS/Heart,High,Found in chocolate - similar to caffeine
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,0,0,CNS,Low,Safe at therapeutic doses for pets
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccccc3)[C@H]1N(C2=O)C(=O)O,0,0,None,None,Common antibiotic - generally safe
Doxycycline,CN(C)[C@@H]1C(=O)/C(=C(\O)c2c(O)cccc2[C@H]1O)C(=O)N,0,0,None,None,Antibiotic safe for dogs and cats
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,0,0,CNS,Low,Benadryl - used in pets with vet guidance
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2coc3ccccc23)cc1Cl,0,0,Kidney,Low,Diuretic used in veterinary medicine
Prednisone,CC1CC2C3CCC4=CC(=O)CCC4(C)C3(O)C(=O)C2(C)C1(O)C(=O)CO,0,0,Immune,Low,Steroid used in vet medicine
Tramadol,CN(C)C[C@H]1CCCCC1(OC)c1ccccc1,0,0,CNS,Low,Opioid painkiller used in dogs
Gabapentin,NCC1(CC(=O)O)CCCCC1,0,0,CNS,Low,Anticonvulsant used in pets
Meloxicam,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N)c2OC)s1,1,1,Kidney/GI,Medium,NSAID - lower risk but still toxic
Carprofen,CC(c1ccc2[nH]c3ccccc3c2c1)C(=O)O,0,0,GI,Low,Vet-approved NSAID for dogs
Clindamycin,CCCC[C@@H](Cl)[C@H](C)C(=O)N[C@H]1CC[C@@H](SC)[C@H](O1)n1ccc(N)n1,0,0,GI,Low,Antibiotic for anaerobic infections in pets
Metformin,CN(C)C(=N)NC(=N)N,1,1,GI/Liver,Medium,Can cause GI upset and lactic acidosis
Itraconazole,CCC(COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)N4C(=O)c5ccccc5N4CC(CC6)CN6CCOC)C,0,0,Liver,Low,Antifungal used in pets
Fluconazole,OC(Cn1ccnc1)(Cn1ccnc1)c1ccc(F)cc1F,0,0,Liver,Low,Antifungal - caution in cats
Ketoconazole,CCOC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2Cl)cc1,0,0,Liver,Low,Antifungal used in dogs
Ivermectin,CC1CC(CC2OC3(CC=CC(C(CC4OC5CC(OC6CC(OC(=O)C7(C)CC(C)CC(C)C7)CC6C)C(=O)C5=C4)C)OC2C1)C(=O)O3)OC,1,1,CNS,High,Toxic to certain dog breeds with MDR1 mutation
Permethrin,COC(=O)C(C)=CC1CC(C1)C(=O)OCc1ccc(cc1)Oc1ccccc1Cl,0,1,CNS,High,SAFE for dogs but HIGHLY TOXIC to cats
Pyrethrins,CCCCC1C(=O)OC2CC(=C)C12,0,1,CNS,High,Natural insecticide - fatal to cats
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,1,1,Heart/CNS,Medium,Local anesthetic - toxic if ingested
Digoxin,OCC1OC(OC2CC3CCCC4C(C=CC34C)CC2(O)C(=O)OC)C(O)C(O)C1O,1,1,Heart,High,Cardiac glycoside - narrow therapeutic window
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1,1,Blood,High,Anticoagulant - causes severe bleeding
Zinc oxide,O=[Zn]=O,1,1,GI/Blood,High,Found in sunscreen/ointments - hemolytic anemia
Ethanol,CCO,1,1,CNS/Liver,High,Alcohol - much lower toxic threshold in pets
Propylene glycol,CC(O)CO,0,1,Blood,High,SAFE for dogs but causes Heinz body anemia in cats
Benzoyl peroxide,O=C(OOC(=O)c1ccccc1)c1ccccc1,0,0,GI,Low,Used topically in some pet shampoos
Chlorhexidine,Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,0,0,GI,Low,Antiseptic used in vet dentistry
Enrofloxacin,CCN1CCN(CC1)c1c(F)c2cc(C(=O)c(ncc2c1)C(=O)O)c1ccccc1,0,0,None,None,Fluoroquinolone antibiotic for pets
Phenobarbital,CCCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0,0,Liver/CNS,Low,Anticonvulsant used long-term in pets
Atenolol,CC(C)(C)NCC(O)c1ccc(cc1)OCC(N)=O,0,0,Heart,Low,Beta blocker used in cats with HCM
